Time_Period,Operator,Punctuality_Score,Year,Cancellation_Rate
Apr to Jun 2014,Great Britain,87.6,2014,NA
Jul to Sep 2014,Great Britain,85.9,2014,NA
Oct to Dec 2014,Great Britain,80.6,2014,NA
Jan to Mar 2015,Great Britain,85.7,2015,NA
Apr to Jun 2015,Great Britain,87.3,2015,NA
Jul to Sep 2015,Great Britain,85.8,2015,NA
Oct to Dec 2015,Great Britain,79.4,2015,NA
Jan to Mar 2016,Great Britain,84.4,2016,NA
Apr to Jun 2016,Great Britain,85.6,2016,NA
Jul to Sep 2016,Great Britain,83.6,2016,NA
Oct to Dec 2016,Great Britain,78.5,2016,NA
Jan to Mar 2017,Great Britain,84.8,2017,NA
Apr to Jun 2017,Great Britain,86.8,2017,NA
Jul to Sep 2017,Great Britain,85.2,2017,NA
Oct to Dec 2017,Great Britain,79.2,2017,NA
Jan to Mar 2018,Great Britain,83,2018,NA
Apr to Jun 2018,Great Britain,84.2,2018,NA
Jul to Sep 2018,Great Britain,82.7,2018,NA
Oct to Dec 2018,Great Britain,79.6,2018,NA
Jan to Mar 2019,Great Britain,85.9,2019,NA
Apr to Jun 2019,Great Britain,87.5,2019,2.4
Jul to Sep 2019,Great Britain,84.2,2019,3.4
Oct to Dec 2019,Great Britain,79.7,2019,4.1
Jan to Mar 2020,Great Britain,84.2,2020,3.8
Apr to Jun 2020,Great Britain,95.8,2020,1.2
Jul to Sep 2020,Great Britain,92.8,2020,2.1
Oct to Dec 2020,Great Britain,90.7,2020,2.4
Jan to Mar 2021,Great Britain,93.1,2021,2.4
Apr to Jun 2021,Great Britain,92.2,2021,2.3
Jul to Sep 2021,Great Britain,90.1,2021,3.4
Oct to Dec 2021,Great Britain,85.9,2021,3.7
Jan to Mar 2022,Great Britain,89,2022,3.9
Apr to Jun 2022,Great Britain,88.8,2022,3.1
Jul to Sep 2022,Great Britain,85.4,2022,4.1
Oct to Dec 2022,Great Britain,81.6,2022,4.4
Jan to Mar 2023,Great Britain,85.8,2023,3.4
Apr to Jun 2023,Great Britain,87.1,2023,3.3
Jul to Sep 2023,Great Britain,86.4,2023,3.5
Oct to Dec 2023,Great Britain,81.2,2023,4.9
Jan to Mar 2024,Great Britain,85.9,2024,3.3
Apr to Jun 2024,Great Britain,86.9,2024,3.5
Jul to Sep 2024,Great Britain,85.1,2024,4.2
Oct to Dec 2024,Great Britain,81.1,2024,5.1
Jan to Mar 2025,Great Britain,85.9,2025,3.4
Apr to Jun 2025 [p],Great Britain,86.3,2025,NA
Jul to Sep 2025 [p],Great Britain,84.8,2025,NA
Apr to Jun 2014,England and Wales,87.3,2014,NA
Jul to Sep 2014,England and Wales,86,2014,NA
Oct to Dec 2014,England and Wales,80.4,2014,NA
Jan to Mar 2015,England and Wales,85.6,2015,NA
Apr to Jun 2015,England and Wales,86.9,2015,NA
Jul to Sep 2015,England and Wales,85.5,2015,NA
Oct to Dec 2015,England and Wales,79.3,2015,NA
Jan to Mar 2016,England and Wales,84.1,2016,NA
Apr to Jun 2016,England and Wales,85.4,2016,NA
Jul to Sep 2016,England and Wales,83.4,2016,NA
Oct to Dec 2016,England and Wales,78.3,2016,NA
Jan to Mar 2017,England and Wales,84.5,2017,NA
Apr to Jun 2017,England and Wales,86.6,2017,NA
Jul to Sep 2017,England and Wales,84.8,2017,NA
Oct to Dec 2017,England and Wales,79.3,2017,NA
Jan to Mar 2018,England and Wales,82.8,2018,NA
Apr to Jun 2018,England and Wales,83.9,2018,NA
Jul to Sep 2018,England and Wales,82.6,2018,NA
Oct to Dec 2018,England and Wales,79.7,2018,NA
Jan to Mar 2019,England and Wales,85.8,2019,NA
Apr to Jun 2019,England and Wales,87.2,2019,2.4
Jul to Sep 2019,England and Wales,83.7,2019,3.5
Oct to Dec 2019,England and Wales,79.2,2019,4.3
Jan to Mar 2020,England and Wales,83.8,2020,3.9
Apr to Jun 2020,England and Wales,95.8,2020,1.3
Jul to Sep 2020,England and Wales,92.8,2020,2.1
Oct to Dec 2020,England and Wales,90.7,2020,2.4
Jan to Mar 2021,England and Wales,93,2021,2.4
Apr to Jun 2021,England and Wales,92.1,2021,2.4
Jul to Sep 2021,England and Wales,90,2021,3.4
Oct to Dec 2021,England and Wales,85.9,2021,3.7
Jan to Mar 2022,England and Wales,88.8,2022,4
Apr to Jun 2022,England and Wales,88.5,2022,3.2
Jul to Sep 2022,England and Wales,84.9,2022,4.3
Oct to Dec 2022,England and Wales,81.3,2022,4.4
Jan to Mar 2023,England and Wales,85.3,2023,3.5
Apr to Jun 2023,England and Wales,86.6,2023,3.4
Jul to Sep 2023,England and Wales,85.9,2023,3.7
Oct to Dec 2023,England and Wales,80.7,2023,5
Jan to Mar 2024,England and Wales,85.5,2024,3.5
Apr to Jun 2024,England and Wales,86.5,2024,3.7
Jul to Sep 2024,England and Wales,84.7,2024,4.4
Oct to Dec 2024,England and Wales,80.7,2024,5.4
Jan to Mar 2025,England and Wales,85.4,2025,3.6
Apr to Jun 2025 [p],England and Wales,85.7,2025,NA
Jul to Sep 2025 [p],England and Wales,84.3,2025,NA
Apr to Jun 2014,Scotland,91.4,2014,NA
Jul to Sep 2014,Scotland,85.5,2014,NA
Oct to Dec 2014,Scotland,82.6,2014,NA
Jan to Mar 2015,Scotland,87,2015,NA
Apr to Jun 2015,Scotland,90.8,2015,NA
Jul to Sep 2015,Scotland,88.7,2015,NA
Oct to Dec 2015,Scotland,80.4,2015,NA
Jan to Mar 2016,Scotland,87.4,2016,NA
Apr to Jun 2016,Scotland,87.6,2016,NA
Jul to Sep 2016,Scotland,84.8,2016,NA
Oct to Dec 2016,Scotland,80.6,2016,NA
Jan to Mar 2017,Scotland,88.2,2017,NA
Apr to Jun 2017,Scotland,88.8,2017,NA
Jul to Sep 2017,Scotland,88.9,2017,NA
Oct to Dec 2017,Scotland,78.2,2017,NA
Jan to Mar 2018,Scotland,85.4,2018,NA
Apr to Jun 2018,Scotland,87.1,2018,NA
Jul to Sep 2018,Scotland,84.4,2018,NA
Oct to Dec 2018,Scotland,78.2,2018,NA
Jan to Mar 2019,Scotland,87.4,2019,NA
Apr to Jun 2019,Scotland,90.1,2019,2.8
Jul to Sep 2019,Scotland,88.6,2019,2.3
Oct to Dec 2019,Scotland,83.5,2019,2.6
Jan to Mar 2020,Scotland,88,2020,2.3
Apr to Jun 2020,Scotland,96.1,2020,1
Jul to Sep 2020,Scotland,93.3,2020,2.4
Oct to Dec 2020,Scotland,90.8,2020,2
Jan to Mar 2021,Scotland,94,2021,2.5
Apr to Jun 2021,Scotland,93.3,2021,1.7
Jul to Sep 2021,Scotland,91.1,2021,2.7
Oct to Dec 2021,Scotland,85.3,2021,3.7
Jan to Mar 2022,Scotland,90.5,2022,2.9
Apr to Jun 2022,Scotland,91.5,2022,2.5
Jul to Sep 2022,Scotland,89.5,2022,2.3
Oct to Dec 2022,Scotland,84.4,2022,4.7
Jan to Mar 2023,Scotland,89.8,2023,2.2
Apr to Jun 2023,Scotland,91.3,2023,2
Jul to Sep 2023,Scotland,90.5,2023,2.1
Oct to Dec 2023,Scotland,84.9,2023,3.3
Jan to Mar 2024,Scotland,89.6,2024,2
Apr to Jun 2024,Scotland,90.6,2024,1.8
Jul to Sep 2024,Scotland,89.6,2024,1.9
Oct to Dec 2024,Scotland,84.6,2024,2.7
Jan to Mar 2025,Scotland,90.5,2025,1.9
Apr to Jun 2025 [p],Scotland,90.9,2025,NA
Jul to Sep 2025 [p],Scotland,88.7,2025,NA
Apr to Jun 2014,Avanti West Coast,69.3,2014,NA
Jul to Sep 2014,Avanti West Coast,69.2,2014,NA
Oct to Dec 2014,Avanti West Coast,63.4,2014,NA
Jan to Mar 2015,Avanti West Coast,69.7,2015,NA
Apr to Jun 2015,Avanti West Coast,71.5,2015,NA
Jul to Sep 2015,Avanti West Coast,72.3,2015,NA
Oct to Dec 2015,Avanti West Coast,62.9,2015,NA
Jan to Mar 2016,Avanti West Coast,69.8,2016,NA
Apr to Jun 2016,Avanti West Coast,73.8,2016,NA
Jul to Sep 2016,Avanti West Coast,73.8,2016,NA
Oct to Dec 2016,Avanti West Coast,68.9,2016,NA
Jan to Mar 2017,Avanti West Coast,76.4,2017,NA
Apr to Jun 2017,Avanti West Coast,76.2,2017,NA
Jul to Sep 2017,Avanti West Coast,75.4,2017,NA
Oct to Dec 2017,Avanti West Coast,62.3,2017,NA
Jan to Mar 2018,Avanti West Coast,68.4,2018,NA
Apr to Jun 2018,Avanti West Coast,69.8,2018,NA
Jul to Sep 2018,Avanti West Coast,64.9,2018,NA
Oct to Dec 2018,Avanti West Coast,65,2018,NA
Jan to Mar 2019,Avanti West Coast,71.6,2019,NA
Apr to Jun 2019,Avanti West Coast,66.2,2019,1.5
Jul to Sep 2019,Avanti West Coast,60.4,2019,2.7
Oct to Dec 2019,Avanti West Coast,55.2,2019,3
Jan to Mar 2020,Avanti West Coast,61.3,2020,4.6
Apr to Jun 2020,Avanti West Coast,86.2,2020,1.2
Jul to Sep 2020,Avanti West Coast,80.2,2020,2.4
Oct to Dec 2020,Avanti West Coast,78.1,2020,1.9
Jan to Mar 2021,Avanti West Coast,77.9,2021,2.4
Apr to Jun 2021,Avanti West Coast,78.2,2021,2.4
Jul to Sep 2021,Avanti West Coast,75.6,2021,2.9
Oct to Dec 2021,Avanti West Coast,66,2021,5.5
Jan to Mar 2022,Avanti West Coast,72.3,2022,4.7
Apr to Jun 2022,Avanti West Coast,67.1,2022,7.8
Jul to Sep 2022,Avanti West Coast,57.8,2022,12
Oct to Dec 2022,Avanti West Coast,52.8,2022,10.5
Jan to Mar 2023,Avanti West Coast,61.1,2023,6.6
Apr to Jun 2023,Avanti West Coast,65.3,2023,3.5
Jul to Sep 2023,Avanti West Coast,65.3,2023,3.9
Oct to Dec 2023,Avanti West Coast,55.8,2023,11.3
Jan to Mar 2024,Avanti West Coast,64.3,2024,8.8
Apr to Jun 2024,Avanti West Coast,60.2,2024,7.8
Jul to Sep 2024,Avanti West Coast,60.3,2024,5.7
Oct to Dec 2024,Avanti West Coast,54.6,2024,6.9
Jan to Mar 2025,Avanti West Coast,62,2025,4.9
Apr to Jun 2025 [p],Avanti West Coast,58.5,2025,NA
Jul to Sep 2025 [p],Avanti West Coast,57,2025,NA
Apr to Jun 2014,c2c,96.7,2014,NA
Jul to Sep 2014,c2c,96.7,2014,NA
Oct to Dec 2014,c2c,96.6,2014,NA
Jan to Mar 2015,c2c,97.2,2015,NA
Apr to Jun 2015,c2c,97.4,2015,NA
Jul to Sep 2015,c2c,97.2,2015,NA
Oct to Dec 2015,c2c,95.1,2015,NA
Jan to Mar 2016,c2c,95.1,2016,NA
Apr to Jun 2016,c2c,95.6,2016,NA
Jul to Sep 2016,c2c,94.3,2016,NA
Oct to Dec 2016,c2c,91.9,2016,NA
Jan to Mar 2017,c2c,95.5,2017,NA
Apr to Jun 2017,c2c,95.1,2017,NA
Jul to Sep 2017,c2c,95.8,2017,NA
Oct to Dec 2017,c2c,96.6,2017,NA
Jan to Mar 2018,c2c,95,2018,NA
Apr to Jun 2018,c2c,95.2,2018,NA
Jul to Sep 2018,c2c,93.6,2018,NA
Oct to Dec 2018,c2c,95.3,2018,NA
Jan to Mar 2019,c2c,96.2,2019,NA
Apr to Jun 2019,c2c,96.3,2019,1.2
Jul to Sep 2019,c2c,95.1,2019,1.5
Oct to Dec 2019,c2c,93.9,2019,2.4
Jan to Mar 2020,c2c,94.6,2020,1.1
Apr to Jun 2020,c2c,97.3,2020,0.9
Jul to Sep 2020,c2c,95.7,2020,0.9
Oct to Dec 2020,c2c,94.7,2020,0.8
Jan to Mar 2021,c2c,95.7,2021,1.5
Apr to Jun 2021,c2c,96.2,2021,1.4
Jul to Sep 2021,c2c,95.2,2021,1.4
Oct to Dec 2021,c2c,94.3,2021,1.2
Jan to Mar 2022,c2c,95.5,2022,1.3
Apr to Jun 2022,c2c,94.2,2022,1.8
Jul to Sep 2022,c2c,90.4,2022,2
Oct to Dec 2022,c2c,91.4,2022,2.2
Jan to Mar 2023,c2c,94.8,2023,1.6
Apr to Jun 2023,c2c,93.6,2023,1.4
Jul to Sep 2023,c2c,94.1,2023,1.3
Oct to Dec 2023,c2c,91.9,2023,1.4
Jan to Mar 2024,c2c,93.9,2024,1.5
Apr to Jun 2024,c2c,93.8,2024,1.7
Jul to Sep 2024,c2c,93.7,2024,1.4
Oct to Dec 2024,c2c,92.8,2024,1.5
Jan to Mar 2025,c2c,92.8,2025,2.2
Apr to Jun 2025 [p],c2c,93.7,2025,NA
Jul to Sep 2025 [p],c2c,90.4,2025,NA
Jan to Mar 2015,Caledonian Sleeper,77.3,2015,NA
Apr to Jun 2015,Caledonian Sleeper,76.1,2015,NA
Jul to Sep 2015,Caledonian Sleeper,78,2015,NA
Oct to Dec 2015,Caledonian Sleeper,70.5,2015,NA
Jan to Mar 2016,Caledonian Sleeper,72.4,2016,NA
Apr to Jun 2016,Caledonian Sleeper,77.2,2016,NA
Jul to Sep 2016,Caledonian Sleeper,76.4,2016,NA
Oct to Dec 2016,Caledonian Sleeper,68,2016,NA
Jan to Mar 2017,Caledonian Sleeper,79.7,2017,NA
Apr to Jun 2017,Caledonian Sleeper,79.2,2017,NA
Jul to Sep 2017,Caledonian Sleeper,84.7,2017,NA
Oct to Dec 2017,Caledonian Sleeper,68.4,2017,NA
Jan to Mar 2018,Caledonian Sleeper,78,2018,NA
Apr to Jun 2018,Caledonian Sleeper,82.6,2018,NA
Jul to Sep 2018,Caledonian Sleeper,77.2,2018,NA
Oct to Dec 2018,Caledonian Sleeper,76,2018,NA
Jan to Mar 2019,Caledonian Sleeper,81.4,2019,NA
Apr to Jun 2019,Caledonian Sleeper,74.2,2019,2.6
Jul to Sep 2019,Caledonian Sleeper,74.3,2019,2.4
Oct to Dec 2019,Caledonian Sleeper,63.7,2019,3.1
Jan to Mar 2020,Caledonian Sleeper,76.8,2020,5.3
Apr to Jun 2020,Caledonian Sleeper,85.3,2020,1.2
Jul to Sep 2020,Caledonian Sleeper,83,2020,2.3
Oct to Dec 2020,Caledonian Sleeper,80.1,2020,2.6
Jan to Mar 2021,Caledonian Sleeper,83.1,2021,11.5
Apr to Jun 2021,Caledonian Sleeper,79.2,2021,1.2
Jul to Sep 2021,Caledonian Sleeper,77.6,2021,8.1
Oct to Dec 2021,Caledonian Sleeper,72.2,2021,5
Jan to Mar 2022,Caledonian Sleeper,82.1,2022,3.5
Apr to Jun 2022,Caledonian Sleeper,81.5,2022,2.6
Jul to Sep 2022,Caledonian Sleeper,77.5,2022,3.6
Oct to Dec 2022,Caledonian Sleeper,71.1,2022,2.2
Jan to Mar 2023,Caledonian Sleeper,79.3,2023,2.2
Apr to Jun 2023,Caledonian Sleeper,77.8,2023,3.1
Jul to Sep 2023,Caledonian Sleeper,85.5,2023,1.4
Oct to Dec 2023,Caledonian Sleeper,67.3,2023,4.7
Jan to Mar 2024,Caledonian Sleeper,78.8,2024,2.5
Apr to Jun 2024,Caledonian Sleeper,82.4,2024,1.6
Jul to Sep 2024,Caledonian Sleeper,84.9,2024,0.2
Oct to Dec 2024,Caledonian Sleeper,72,2024,1.4
Jan to Mar 2025,Caledonian Sleeper,74.1,2025,1.9
Apr to Jun 2025 [p],Caledonian Sleeper,73.4,2025,NA
Jul to Sep 2025 [p],Caledonian Sleeper,71.4,2025,NA
Apr to Jun 2014,Chiltern Railways,92.2,2014,NA
Jul to Sep 2014,Chiltern Railways,90.7,2014,NA
Oct to Dec 2014,Chiltern Railways,86.3,2014,NA
Jan to Mar 2015,Chiltern Railways,91.5,2015,NA
Apr to Jun 2015,Chiltern Railways,90.1,2015,NA
Jul to Sep 2015,Chiltern Railways,89.9,2015,NA
Oct to Dec 2015,Chiltern Railways,83.1,2015,NA
Jan to Mar 2016,Chiltern Railways,89.3,2016,NA
Apr to Jun 2016,Chiltern Railways,87.9,2016,NA
Jul to Sep 2016,Chiltern Railways,85.7,2016,NA
Oct to Dec 2016,Chiltern Railways,85,2016,NA
Jan to Mar 2017,Chiltern Railways,88.7,2017,NA
Apr to Jun 2017,Chiltern Railways,87.5,2017,NA
Jul to Sep 2017,Chiltern Railways,87.9,2017,NA
Oct to Dec 2017,Chiltern Railways,84.3,2017,NA
Jan to Mar 2018,Chiltern Railways,88,2018,NA
Apr to Jun 2018,Chiltern Railways,88.9,2018,NA
Jul to Sep 2018,Chiltern Railways,83,2018,NA
Oct to Dec 2018,Chiltern Railways,85.3,2018,NA
Jan to Mar 2019,Chiltern Railways,89.6,2019,NA
Apr to Jun 2019,Chiltern Railways,89,2019,1
Jul to Sep 2019,Chiltern Railways,85.4,2019,1.6
Oct to Dec 2019,Chiltern Railways,82.2,2019,1.4
Jan to Mar 2020,Chiltern Railways,86.6,2020,1.6
Apr to Jun 2020,Chiltern Railways,94.6,2020,0.8
Jul to Sep 2020,Chiltern Railways,92,2020,1.7
Oct to Dec 2020,Chiltern Railways,91.4,2020,1.7
Jan to Mar 2021,Chiltern Railways,94.2,2021,1.6
Apr to Jun 2021,Chiltern Railways,91.6,2021,1.6
Jul to Sep 2021,Chiltern Railways,88.5,2021,2.6
Oct to Dec 2021,Chiltern Railways,86.9,2021,1.7
Jan to Mar 2022,Chiltern Railways,92.2,2022,2
Apr to Jun 2022,Chiltern Railways,90.7,2022,1.5
Jul to Sep 2022,Chiltern Railways,84.7,2022,2.4
Oct to Dec 2022,Chiltern Railways,85.1,2022,1.5
Jan to Mar 2023,Chiltern Railways,88.4,2023,2.4
Apr to Jun 2023,Chiltern Railways,87.6,2023,1.8
Jul to Sep 2023,Chiltern Railways,92.1,2023,1.7
Oct to Dec 2023,Chiltern Railways,89.2,2023,2.3
Jan to Mar 2024,Chiltern Railways,90.6,2024,2.9
Apr to Jun 2024,Chiltern Railways,92.5,2024,1.4
Jul to Sep 2024,Chiltern Railways,89.3,2024,2.6
Oct to Dec 2024,Chiltern Railways,87.7,2024,3.1
Jan to Mar 2025,Chiltern Railways,92.7,2025,1.7
Apr to Jun 2025 [p],Chiltern Railways,89.7,2025,NA
Jul to Sep 2025 [p],Chiltern Railways,88.6,2025,NA
Apr to Jun 2014,CrossCountry,76,2014,NA
Jul to Sep 2014,CrossCountry,73.5,2014,NA
Oct to Dec 2014,CrossCountry,64.7,2014,NA
Jan to Mar 2015,CrossCountry,76,2015,NA
Apr to Jun 2015,CrossCountry,76.6,2015,NA
Jul to Sep 2015,CrossCountry,74.3,2015,NA
Oct to Dec 2015,CrossCountry,65.7,2015,NA
Jan to Mar 2016,CrossCountry,75.4,2016,NA
Apr to Jun 2016,CrossCountry,77.8,2016,NA
Jul to Sep 2016,CrossCountry,73.7,2016,NA
Oct to Dec 2016,CrossCountry,67.2,2016,NA
Jan to Mar 2017,CrossCountry,77.1,2017,NA
Apr to Jun 2017,CrossCountry,76,2017,NA
Jul to Sep 2017,CrossCountry,74,2017,NA
Oct to Dec 2017,CrossCountry,63.4,2017,NA
Jan to Mar 2018,CrossCountry,71.2,2018,NA
Apr to Jun 2018,CrossCountry,69.1,2018,NA
Jul to Sep 2018,CrossCountry,64.9,2018,NA
Oct to Dec 2018,CrossCountry,64.6,2018,NA
Jan to Mar 2019,CrossCountry,75.9,2019,NA
Apr to Jun 2019,CrossCountry,74.1,2019,2.2
Jul to Sep 2019,CrossCountry,68.8,2019,3.6
Oct to Dec 2019,CrossCountry,62.3,2019,4.9
Jan to Mar 2020,CrossCountry,70.6,2020,3.5
Apr to Jun 2020,CrossCountry,91.9,2020,0.9
Jul to Sep 2020,CrossCountry,85.7,2020,1.4
Oct to Dec 2020,CrossCountry,81.6,2020,1.6
Jan to Mar 2021,CrossCountry,86.2,2021,2.5
Apr to Jun 2021,CrossCountry,84.5,2021,2.7
Jul to Sep 2021,CrossCountry,80.1,2021,2.4
Oct to Dec 2021,CrossCountry,73.7,2021,3.1
Jan to Mar 2022,CrossCountry,80.1,2022,2.9
Apr to Jun 2022,CrossCountry,77.8,2022,4.6
Jul to Sep 2022,CrossCountry,67.6,2022,6.6
Oct to Dec 2022,CrossCountry,65,2022,10.3
Jan to Mar 2023,CrossCountry,73.7,2023,4.6
Apr to Jun 2023,CrossCountry,70.3,2023,6.7
Jul to Sep 2023,CrossCountry,69.4,2023,7.5
Oct to Dec 2023,CrossCountry,61,2023,12.3
Jan to Mar 2024,CrossCountry,70.9,2024,7
Apr to Jun 2024,CrossCountry,72.6,2024,6.6
Jul to Sep 2024,CrossCountry,68,2024,5.8
Oct to Dec 2024,CrossCountry,61.9,2024,10.1
Jan to Mar 2025,CrossCountry,74.3,2025,5.3
Apr to Jun 2025 [p],CrossCountry,70.7,2025,NA
Jul to Sep 2025 [p],CrossCountry,67.6,2025,NA
Apr to Jun 2014,East Midlands Railway,81.9,2014,NA
Jul to Sep 2014,East Midlands Railway,82.4,2014,NA
Oct to Dec 2014,East Midlands Railway,76.3,2014,NA
Jan to Mar 2015,East Midlands Railway,83.8,2015,NA
Apr to Jun 2015,East Midlands Railway,86.8,2015,NA
Jul to Sep 2015,East Midlands Railway,84.1,2015,NA
Oct to Dec 2015,East Midlands Railway,76.5,2015,NA
Jan to Mar 2016,East Midlands Railway,84.1,2016,NA
Apr to Jun 2016,East Midlands Railway,84.5,2016,NA
Jul to Sep 2016,East Midlands Railway,82,2016,NA
Oct to Dec 2016,East Midlands Railway,75.3,2016,NA
Jan to Mar 2017,East Midlands Railway,84.9,2017,NA
Apr to Jun 2017,East Midlands Railway,84.6,2017,NA
Jul to Sep 2017,East Midlands Railway,83.7,2017,NA
Oct to Dec 2017,East Midlands Railway,74.6,2017,NA
Jan to Mar 2018,East Midlands Railway,79.3,2018,NA
Apr to Jun 2018,East Midlands Railway,80.4,2018,NA
Jul to Sep 2018,East Midlands Railway,76.3,2018,NA
Oct to Dec 2018,East Midlands Railway,71.2,2018,NA
Jan to Mar 2019,East Midlands Railway,80.9,2019,NA
Apr to Jun 2019,East Midlands Railway,81.6,2019,1.2
Jul to Sep 2019,East Midlands Railway,78.3,2019,1.8
Oct to Dec 2019,East Midlands Railway,69.7,2019,2.2
Jan to Mar 2020,East Midlands Railway,78.8,2020,1.7
Apr to Jun 2020,East Midlands Railway,93.3,2020,1.1
Jul to Sep 2020,East Midlands Railway,89.4,2020,1.2
Oct to Dec 2020,East Midlands Railway,85.8,2020,2.4
Jan to Mar 2021,East Midlands Railway,89.1,2021,1.8
Apr to Jun 2021,East Midlands Railway,83.6,2021,2.4
Jul to Sep 2021,East Midlands Railway,78.2,2021,2.8
Oct to Dec 2021,East Midlands Railway,71.8,2021,3.3
Jan to Mar 2022,East Midlands Railway,79.1,2022,2.9
Apr to Jun 2022,East Midlands Railway,78.3,2022,2.6
Jul to Sep 2022,East Midlands Railway,72.4,2022,3.6
Oct to Dec 2022,East Midlands Railway,68.8,2022,3.3
Jan to Mar 2023,East Midlands Railway,77.4,2023,2.2
Apr to Jun 2023,East Midlands Railway,75.7,2023,2.3
Jul to Sep 2023,East Midlands Railway,75.8,2023,2.5
Oct to Dec 2023,East Midlands Railway,66.3,2023,5.7
Jan to Mar 2024,East Midlands Railway,75.1,2024,2.9
Apr to Jun 2024,East Midlands Railway,77.2,2024,2.6
Jul to Sep 2024,East Midlands Railway,74,2024,3.7
Oct to Dec 2024,East Midlands Railway,70.9,2024,4.7
Jan to Mar 2025,East Midlands Railway,78.1,2025,3.3
Apr to Jun 2025 [p],East Midlands Railway,77.6,2025,NA
Jul to Sep 2025 [p],East Midlands Railway,75.4,2025,NA
Apr to Jun 2014,Elizabeth line,90.8,2014,NA
Jul to Sep 2014,Elizabeth line,89.5,2014,NA
